Avis,Ordre,Description,Poste technique,Désignation du poste technique,Poste travail princ.,Divis. planification,Groupe gestionnaires,Statut système,Statut utilisateur,Type de travail,Type d'avis,Priorité,Texte de la priorité,Type de priorité,Auteur de l'avis,Créé par,Créé le,Créé à,Date de l'avis,Heure de l'avis,Modifié par,Date de modification,Heure modification,Début souhaité,Heure début souhaitée,Date de la clôture,Heure de clôture,Zone de tri,Centre de coûts,Pompe
13497563,4002591484.0,OMS_MESURE VIBRATOIRE PALIERS,SF01-UT-FDEM-BASSIN-0IP01A,MOTOPOMPE EAU MER VERS CENTRALE IPO1A MC,SF1-MCU,SF01,GM4,AENC OAFF,,290.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:06,2026-08-29 00:00:00,15:27:06,,,00:00:00,2026-09-11 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 01A,SF01PEAUMR,1
13497561,4002591482.0,LUBRIFICATION DES PALIERS,SF01-UT-FDEM-BASSIN-0IP01A,MOTOPOMPE EAU MER VERS CENTRALE IPO1A MC,SF1-MCU,SF01,GM4,AENC OAFF,,350.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:06,2026-08-29 00:00:00,15:27:06,,,00:00:00,2026-09-12 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 01A,SF01PEAUMR,1
13152732,4002285769.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP01A-CRSV-924VT670,CAPTEUR DE VIBRATION DE LA POMPE IP01 A,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:45,2026-07-10 00:00:00,14:40:45,,,00:00:00,2026-10-19 00:00:00,00:00:00,,00:00:00,S-PC-924 VT 670 AE,SF01PEAUMR,1
13434269,4002532348.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-08-19,08:03:35,2026-08-19 00:00:00,08:03:35,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
13152417,4002285347.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:32,2026-07-10 00:00:00,14:40:32,,,00:00:00,2026-10-19 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
11922052,4001059854.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,3.0,Dans un mois,P1,,BENMOUSSA1,2026-01-12,16:14:02,2026-01-12 00:00:00,16:14:02,BENMOUSSA1,2026-08-27 00:00:00,17:02:12,2026-08-27 00:00:00,17:02:12,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
11739988,4000023772.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,LABIBI,2025-12-18,10:21:51,2025-12-18 00:00:00,10:21:49,,,00:00:00,2025-11-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
13152578,4002285559.0,préventif (1 an) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:39,2026-07-10 00:00:00,14:40:39,,,00:00:00,2027-07-19 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
12807880,4001952757.0,préventif (1 an) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:09,2026-05-25 00:00:00,09:52:09,,,00:00:00,2027-05-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
13152427,4002285358.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:32,2026-07-10 00:00:00,14:40:32,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
