Avis,Ordre,Désignation,Numéro d'objet,Poste technique,Désignation du poste technique,Équipement,Description de l'objet technique,Zone de tri,Poste travail princ.,Groupe gestionnaires,Divis. planification,Statut système,Statut utilisateur,Saisi par,Date de début planifiée,Créé le,Date de clôture,Total coûts budgétés,Total coûts réels,Centre de coûts,Centre de profit,Élément d'OTP,Révision,Priorité,Type d'ordre,Type de travail,Nº appel pl.entret.,Plan d'entretien,Poste d'entretien,Pompe
10127131.0,4165829,Démontage IP04 A pour révision,OR000004165829,SF01-UT-FDEM-BASSIN-0IP04A,MOTOPOMPE EAU MER VERS PPII IPO4A BASSIN,,,S-PC-P924 IP 04A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,FATHELLAH,2025-02-14,2025-02-14,,1644.44,1.0,SF01PEAUMR,SMC,,,1.0,ZCOR,110,0,,,4
,4202720,Préparation et soudage bride d'aspiratio,OR000004202720,SF01-UT-FDEM-BASSIN-0IP04A,MOTOPOMPE EAU MER VERS PPII IPO4A BASSIN,,,S-PC-P924 IP 04A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-02-19,2025-02-26,,873.18,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,4
,4207033,Préparation supporte de la pompe E/M,OR000004207033,SF01-UT-FDEM-BASSIN-0IP02A,MOTOPOMPE EAU MER VERS SEM2 IPO2A MC,,,S-PC-P924 IP 02A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-02-17,2025-02-28,,873.18,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,2
,4208410,Ouverture et fermeture de la vanne,OR000004208410,SF01-UT-FDEM-BASSIN-0IP03A,MOTOPOMPE EAU MER VERS PSII IPO3A BASSIN,,,S-PC-P924 IP 03A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-02-27,2025-03-01,,385.38,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,3
,4208411,Changement tresse de la pompe IP03A,OR000004208411,SF01-UT-FDEM-BASSIN-0IP03A,MOTOPOMPE EAU MER VERS PSII IPO3A BASSIN,,,S-PC-P924 IP 03A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-02-27,2025-03-01,,225.4,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,3
,4208417,Serrage des tresse de la pompe IP03A,OR000004208417,SF01-UT-FDEM-BASSIN-0IP03A,MOTOPOMPE EAU MER VERS PSII IPO3A BASSIN,,,S-PC-P924 IP 03A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-02-27,2025-03-01,,225.4,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,3
10127491.0,4210515,Débranchement mot-pompe IP04 A,OR000004210515,SF01-UT-FDEM-BASSIN-0IP04A,MOTOPOMPE EAU MER VERS PPII IPO4A BASSIN,,,S-PC-P924 IP 04A,SF1-ECU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,ISTA,2025-06-28,2025-03-03,,0.0,2.0,SF01PEAUMR,SMC,,,1.0,ZCOR,110,0,,,4
10179370.0,4219856,Serrage tresse de la pompe IP02B,OR000004219856,SF01-UT-FDEM-BASSIN-0IP02B,MOTOPOMPE EAU MER VERS SEM2 IPO2B,,,S-PC-P924 IP 02B,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-03-04,2025-03-05,,225.4,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,2
,4222759,pompe FLOWSERVE Type 20EPM -2,OR000004222759,SF01-UT-FDEM-BASSIN-0IP04B-GPPE,GROUPE POMPE IP04B VERS CENTRALE BASSIN,,,,SF1-MCU,GM4,SF01,TCLO CONF ARCO CCRP ERCT JBFI MMEf RIMP,SOPL,FATHELLAH,2025-02-23,2025-03-05,,4358.43,12736.43,SF01SLFPS4,SMC,,,1.0,ZCOR,110,0,,,4
,4224736,Démontage du réducteur vanne refoulement,OR000004224736,SF01-UT-FDEM-BASSIN-0IP04A,MOTOPOMPE EAU MER VERS PPII IPO4A BASSIN,,,S-PC-P924 IP 04A,SF1-MCU,GM4,SF01,TCLO CONF CCRP JBFI PART RIMP,SOPL,MATAR1,2025-02-13,2025-03-06,,308.21,0.0,SF01PEAUMR,SMC,,,2.0,ZCOR,110,0,,,4
